initial|word|mean|example
ㅇㅁ|오명|더러워진 이름이나 명예|그는 억울한 누명을 쓰고 씻을 수 없는 ___을 뒤집어썼다
ㅇㅇ|오인|잘못 보거나 잘못 생각함|어두워서 그를 적으로 ___하고 사격했다
ㅇㅎ|와해|기와가 깨진다는 뜻으로, 조직이나 계획 따위가 산산이 무너짐|내부 갈등으로 조직이 ___될 위기에 처했다
ㅇㅇ|요원|아득하게 멂|통일은 아직 ___한 일처럼 느껴진다
ㅇㅇ|용이|어렵지 않고 쉬움|접근이 ___하여 많은 사람이 이용한다
ㅇㅅ|위상|어떤 사물이 다른 사물과의 관계 속에서 가지는 위치나 상태|국가의 경제적 ___이 높아졌다
ㅇㅎㄱ|위화감|조화되지 아니하는 어설픈 느낌|지나친 사치는 주변 사람들에게 ___을 조성할 수 있다
ㅇㄴ|유념|마음에 둠|안전 수칙을 항상 ___해 주시기 바랍니다
ㅇㅂ|유보|어떤 일을 당장 처리하지 아니하고 나중으로 미룸|결정을 잠시 ___하고 상황을 지켜보기로 했다
ㅇㅊ|유치|행사나 사업 따위를 끌어들임|세계 엑스포 ___를 위해 총력을 기울이고 있다
ㅇㅌ|융통|금전이나 물품 따위를 돌려 씀. (상황에 따른 처리를 의미하기도 함)|원칙도 중요하지만 상황에 따라 ___을 발휘해야 한다
ㅇㄱ|이관|관할을 다른 곳으로 옮김|해당 업무가 다른 부서로 ___되었다
ㅇㅁ|이면|겉으로 나타나지 않은 속|화려한 성공의 ___에는 피나는 노력이 있었다
ㅇㅇ|일임|모두 맡김|그는 협상에 관한 전권을 변호사에게 ___했다
ㅈㅁ|자문|어떤 일을 효율적으로 처리하기 위해 전문가에게 의견을 물음|법률 전문가에게 ___을 구했다
ㅈㄱ|재고|어떤 일이나 문제 따위에 대하여 다시 생각함|그 계획은 현실성이 없으므로 ___의 여지가 있다
ㅈㅂ|저변|어떤 분야의 발전의 기초가 되는, 사회 전반에 깔려 있는 밑바탕|축구의 ___ 확대를 위해 유소년 클럽을 지원해야 한다
ㅈㅅ|적시|지적하여 보임|문제점을 정확히 ___하고 해결책을 찾아야 한다
ㅈㄱ|전가|잘못이나 책임을 남에게 넘겨씌움|자신의 책임을 남에게 ___하지 마라
ㅈㅊ|전철|앞서 지나간 수레바퀴의 자국. (이전의 실패)|과거의 ___을 밟지 않기 위해 역사를 공부한다
ㅈㅊ|점철|어떤 일로 이어져 엮임|그의 인생은 고난과 역경으로 ___되어 있다
ㅈㅎ|정황|일의 사정과 상황|여러 ___으로 보아 그가 범인임이 확실하다
ㅈㄱ|제고|쳐들어 높임|기업 이미지를 ___하기 위한 캠페인을 시작했다
ㅈㅇ|조예|학문이나 예술, 기술 따위의 분야에 대한 지식이나 경험이 깊은 경지|그는 미술에 깊은 ___가 있다
ㅈㅈ|조장|바람직하지 않은 일을 더 심해지도록 부추김|공포감을 ___하는 보도는 자제해야 한다
ㅈㅅ|좌시|참견하지 아니하고 앉아서 보기만 함|우리 정부는 영토 침해 행위를 결코 ___하지 않을 것이다
ㅈㅈ|주지|여러 사람이 두루 앎|이미 ___하다시피 이번 프로젝트는 매우 중요하다
ㅈㅅ|준수|전례나 법규, 명령 따위를 그대로 좇아서 지킴|교통 법규를 ___하여 안전 운전을 해야 한다
ㅈㅈ|중재|분쟁 당사자 사이에 서서 화해를 붙임|노사 간의 갈등을 해결하기 위해 정부가 ___에 나섰다
ㅈㅇ|지양|더 높은 단계로 오르기 위하여 어떠한 것을 하지 아니함 (피함)|소모적인 논쟁을 ___하고 생산적인 대화를 하자
ㅈㅎ|지향|어떤 목표로 뜻이 쏠리어 향함|미래 ___적인 관점에서 계획을 세워야 한다
ㅈㅅ|직시|사물의 진실을 바로 봄|현실을 냉정하게 ___하고 대책을 마련해야 한다
ㅈㅇ|진위|참과 거짓|소문의 ___를 파악하기 위해 조사에 착수했다
ㅈㄱ|징계|허물이나 잘못을 뉘우치도록 나무라며 제재를 가함|규정을 위반한 직원에 대해 ___ 처분이 내려졌다
ㅊㅊ|차치|내버려 두고 문제 삼지 아니함|비용 문제는 ___하고서라도 실현 가능성이 낮다
ㅊㅈ|참작|이리저리 비추어 보아서 알맞게 고려함|정상 ___의 여지가 있어 형량이 감경되었다
ㅊㅊ|창출|전에 없던 것을 처음으로 만들어 냄|새로운 일자리를 ___하는 것이 경제 정책의 핵심이다
ㅊㅌ|채택|작품, 의견, 법안 따위를 골라서 다루거나 씀|그의 제안이 회의에서 공식 안건으로 ___되었다
ㅊㅈ|책정|계획이나 방책을 세워 결정함|내년도 예산을 ___하기 위한 논의가 시작되었다
ㅊㄱ|척결|부정부패 따위의 나쁜 대상을 깨끗이 없애 버림|부정부패 ___은 국가적인 과제이다
ㅊㅁ|천명|진리나 사실, 입장 따위를 드러내어 밝힘|그는 기자회견을 통해 출마 의사를 공식적으로 ___했다
ㅊㅎ|철회|이미 제출하였던 것이나 주장하였던 것을 거두어들임|반발이 거세지자 정부는 해당 정책을 ___했다
ㅊㄱ|체감|외부의 자극을 몸으로 직접 느낌|경기가 나빠졌다는 것을 피부로 ___하고 있다
ㅊㄹ|초래|어떤 결과를 가져오게 함|사소한 실수가 엄청난 재앙을 ___할 수 있다
ㅊㄱ|촉구|재촉하여 요구함|시민 단체는 정부에 대책 마련을 강력히 ___했다
ㅊㄷ|추대|윗사람으로 떠받듦|그는 만장일치로 신임 회장에 ___되었다
ㅊㅅ|추산|짐작으로 미루어 셈함|피해액은 약 10억 원으로 ___된다
ㅊㅇ|추이|일이나 형편이 변하여 나가는 경향|사태의 ___를 지켜본 뒤에 대응하겠다
ㅊㅈ|축적|지식, 경험, 자금 따위를 모아서 쌓음|오랜 기간 ___된 기술력이 우리 회사의 강점이다
ㅊㅈ|출자|자금을 내어놓음|여러 기업이 공동으로 ___하여 합작 회사를 설립했다
ㅊㄷ|충당|모자라는 것을 채워 메움|부족한 예산을 ___하기 위해 기부금을 모금했다
ㅊㅇ|충원|인원수를 채움|결원이 발생하여 신입 사원을 ___하기로 했다
ㅊㅈ|취지|어떤 일의 근본이 되는 목적이나 긴요한 뜻|법 제정의 ___를 살려 공정하게 집행해야 한다
ㅊㅎ|치하|공로를 칭찬하고 축하함|사장은 직원들의 노고를 ___하고 격려금을 지급했다
ㅋㄹㅌ|카르텔|동종 기업이 시장 통제를 위해 맺는 협정|그들은 ___을 형성하여 가격을 담합했다
ㅋㅅㅌㅂㅌ|캐스팅보트|가부 동수일 때 의장이 행사하는 결정권. (승패를 가르는 결정적 표)|제3당이 이번 선거의 ___를 쥐고 있다
ㅋㄹㅋㄹ|커리큘럼|교육 과정|체계적인 ___을 통해 전문가를 양성한다
ㅋㅅㅅㅅ|컨센서스|구성원 간의 합의|시장 ___에 부합하는 실적을 발표했다
ㅋㅅㅅㅇ|컨소시엄|공통의 목적을 위한 협회나 조합|여러 기업이 ___을 구성하여 입찰에 참여했다
ㅋㅌㄹㅌㅇ|컨트롤타워|중심이 되어 전체를 관장하는 기구|재난 상황에서 ___ 역할을 할 부서가 필요하다
ㅋㅍㄹㅅ|콤플렉스|강박 관념. (열등감)|그는 학력 ___를 극복하고 성공했다
ㅋㅇㅅ|케이스|사례|유사한 ___를 분석하여 대응책을 마련했다
ㅋㅁㅌ|코멘트|논평이나 언급|그 문제에 대해서는 ‘노 ___’ 하겠다
ㅋㅅㅌ|콘셉트|개념이나 구상|이번 신제품의 ___은 ‘친환경’이다
ㅋㄱ|쾌거|가슴이 후련할 정도로 통쾌한 일|세계 대회 우승이라는 ___를 이룩했다
ㅋㅇ|쾌유|병이 깨끗이 나음|환자의 조속한 ___를 빕니다
ㅋㅊ|쾌척|돈이나 물품을 기꺼이 내놓음|그는 전 재산을 장학금으로 ___했다
ㅋㄹㅇㄷㅍㄷ|크라우드펀딩|대중으로부터 자금을 조달하는 방식|___을 통해 제작비를 모았다
ㅋㄹㅇ|클레임|불만 제기나 손해 배상 청구|고객의 ___에 신속하게 대응해야 한다
ㅋㄹㅅ|클리셰|진부한 표현이나 상투적인 문구|그 영화는 ___ 범벅이라 신선함이 없다
ㅋㅇㄷ|키워드|핵심 단어|이번 마케팅의 ___는 ‘소통’이다
ㅋㅇㅍ|킥오프|경기 시작이나 프로젝트 착수|다음 주 월요일에 프로젝트 ___ 미팅을 갖는다
ㅋㄹㅋㅌㅊ|킬러콘텐츠|시장을 지배할 만큼 강력한 상품이나 서비스|OTT 시장에서 살아남기 위해서는 ___가 필수적이다
ㅌㄱ|타개|매우 어려운 처지를 잘 처리하여 열어 나감|난관을 ___하기 위한 묘책이 필요하다
ㅌㅅㅈㅅ|타산지석|남의 잘못을 보고 자신을 닦는 데 도움을 얻음|경쟁사의 실패를 ___으로 삼아야 한다
ㅌㅅㄱㄹ|탁상공론|현실성 없는 헛된 논의|현장을 모르는 ___은 문제 해결에 도움이 안 된다
ㅌㄹ|탄로|숨긴 일이 드러남|거짓말이 ___날까 봐 전전긍긍했다
ㅌㅇ|탄원|사정을 하소연하여 도와주기를 간절히 바람|주민들은 선처를 호소하는 ___서를 제출했다
ㅌㅍ|탈피|낡은 습관이나 상태에서 벗어남|구태를 ___하고 혁신해야 한다
ㅌㄱ|탕감|빚이나 요금 따위를 삭쳐 줌|정부는 학자금 대출 이자를 ___해주기로 결정했다
ㅌㄷ|태동|어떤 일이 생기려는 기운이 싹틈|민주주의의 ___기에 많은 희생이 있었다
ㅌㅁ|태만|게으르고 느림|업무 ___으로 징계를 받았다
ㅌㄹ|토로|마음속의 생각을 털어놓음|그는 친구에게 그동안의 고충을 ___했다
ㅌㄱ|통감|마음속 깊이 사무치게 느낌|이번 사태에 대해 책임을 ___하고 사퇴했다
ㅌㄴ|통념|널리 통하는 생각|사회적 ___을 깨는 파격적인 광고가 화제다
ㅌㅅ|통상|특별하지 않고 예사임. (일반적으로)|___적인 절차에 따라 진행될 것이다
ㅌㅊ|통찰|예리한 관찰력으로 사물을 꿰뚫어 봄|미래를 내다보는 ___력이 뛰어난 리더다
ㅌㅍㅎ|통폐합|조직 등을 합쳐서 하나로 만듦|부실 대학 ___이 추진되고 있다
ㅌㄱ|퇴고|글을 다듬음|여러 번의 ___를 거쳐 원고를 완성했다
ㅌㅅ|퇴색|빛이나 색이 바램. (의미가 약해짐)|본래의 취지가 ___되지 않도록 주의해야 한다
ㅌㄱ|투기|시세 변동을 예상하여 이익을 얻으려는 행위|부동산 ___ 억제 대책이 발표되었다
ㅌㅁㅅ|투명성|상황이나 내용이 분명한 성질|경영의 ___을 높여야 신뢰를 얻을 수 있다
ㅌㅎ|특혜|특별한 혜택|채용 비리 의혹으로 ___ 시비가 일었다
ㅍㄱ|파급|영향이 차차 퍼짐|이번 사태가 경제에 미칠 ___ 효과가 우려된다
ㅍㄱ|파기|깨뜨려 버림. (계약 해지)|일방적으로 계약을 ___하면 위약금을 물어야 한다
ㅍㅁ|파면|직무를 그만두게 함|비리를 저지른 공무원이 ___되었다
ㅍㅅ|파생|주된 것에서 갈려 나와 생김|금융 위기는 다양한 사회 문제를 ___시켰다
ㅍㅎ|파행|절룩거림. (일이 순조롭지 못함)|국회 운영이 여야 갈등으로 ___을 겪고 있다
ㅍㄷ|판도|세력이 미치는 범위나 형세|이번 선거 결과가 정치권의 ___를 뒤흔들었다
ㅍㄱ|패권|으뜸가는 권리나 권력|기술 ___을 차지하기 위한 국가 간 경쟁이 치열하다
ㅍㄹㄷㅇ|패러다임|한 시대의 지배적인 사고의 틀|스마트폰의 등장은 소통의 ___을 바꾸어 놓았다
ㅍㅊ|패착|바둑에서 지게 된 나쁜 수. (실수)|성급한 가격 인상은 시장 점유율 하락이라는 ___이 되었다
ㅍㅂ|팽배|어떤 기세가 널리 퍼짐|사회 전반에 불신 풍조가 ___해 있다
ㅍㅅ|편승|남이 타는 차에 제물에 탐. (남의 세력에 의지함)|유행에 ___하여 질 낮은 제품을 출시했다
ㅍㅈ|편중|한쪽으로 치우침|부의 ___ 현상을 완화해야 한다
ㅍㄷ|폐단|어떤 일에 딸린 좋지 못한 경향이나 해로운 현상|지나친 경쟁의 ___을 바로잡아야 한다
ㅍㅎ|폐해|폐단으로 생기는 해|인터넷 중독의 ___가 심각하다
ㅍㅅ|포석|바둑에서 돌을 벌여 놓음. (앞날을 위한 준비)|이번 인사는 차기 대권을 위한 ___으로 해석된다
ㅍㅈ|포진|진을 침. (배치됨)|유명 배우들이 대거 ___한 화려한 캐스팅이다
ㅍㅁ|표명|의사나 태도를 분명히 드러냄|장관이 사임 의사를 ___했다
ㅍㅂ|표방|주의나 주장을 내세움|친환경 기업을 ___하며 마케팅을 펼치고 있다
ㅍㄱ|품귀|물건이 귀함|마스크 ___ 현상으로 가격이 폭등했다
ㅍㄹ|피력|생각을 털어놓고 말함|대통령은 신년사에서 국정 운영 포부를 ___했다
ㅎㅈ|하자|흠이나 결점|제품에 ___가 발견되어 전량 리콜했다
ㅎㄱ|함구|입을 다묾|그는 사건에 대해 굳게 ___하고 있다
ㅎㅇ|함양|능력이나 품성 등을 길러 닦음|시민 의식을 ___하기 위한 교육이 필요하다
ㅎㅂ|항변|대항하여 변명하거나 반박함|피고인은 억울함을 호소하며 ___했다
ㅎㅇ|해이|긴장이 풀려 느슨함|안전 불감증과 기강 ___가 사고의 원인이다
ㅎㅂ|행보|걸음걸이. (활동이나 태도)|그의 거침없는 광폭 ___가 주목받고 있다
ㅎㅂ|향배|어떤 일이 되어 가는 추세나 어떤 일에 대한 사람들의 태도|여론의 ___가 이번 선거의 승패를 가를 것이다
ㅎㅇ|향유|누리어 가짐|모든 국민은 문화를 ___할 권리가 있다
ㅎㅇ|현안|해결되지 않고 남아 있는 안건|민생 ___을 해결하기 위해 여야가 머리를 맞댔다
ㅎㅇ|혜안|사물을 꿰뚫어 보는 안목|미래를 내다보는 리더의 ___이 필요한 시점이다
ㅎㄷ|호도|명확하지 않게 덮어버리거나 속임|진실을 ___하는 보도는 지양해야 한다
ㅎㅈ|호재|좋은 재료나 조건|금리 인하는 주식 시장에 ___로 작용한다
ㅎㅅ|혼선|말이나 업무 등이 섞여 갈피를 못 잡음|정부의 엇박자 정책으로 시장에 ___을 빚었다
ㅎㄷ|화두|이야기의 첫머리. (중요한 문제)|이번 포럼의 핵심 ___는 ‘인공지능’이다
ㅎㄱ|환기|주의나 여론을 불러일으킴|환경 문제에 대한 경각심을 ___시켰다
ㅎㅂ|회부|협의나 재판에 넘김|그 안건은 윤리위원회에 ___되었다
ㅎㅈ|회자|사람들의 입에 오르내림|명언으로 ___되는 그의 말에는 깊은 울림이 있다
ㅎㄹ|횡령|남의 재물을 불법으로 가로챔|공금을 ___한 혐의로 구속되었다
ㅎㅅ|희석|농도를 묽게 함. (가치나 의미를 약화시킴)|본질을 ___시키는 물타기 식 해명은 통하지 않는다
ㅎㅍ|형평|균형이 맞음|지역 간 ___을 고려하여 예산을 배정했다
